,Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
487,mackenzie,ca,55.3382,-123.0944,51.22,97,64,5.7
488,springdale,ca,49.5,-56.065,51.12,90,54,0.98
489,broome,au,-17.9667,122.2333,80.71,64,0,9.48
490,devils lake,us,48.1128,-98.8652,62.89,61,50,5.03
491,chalchihuites,mx,23.4754,-103.8823,52.16,81,98,9.19
492,margate,za,-30.8636,30.3705,50.14,39,39,28.12
493,marsh harbour,bs,26.5383,-77.0611,83.16,74,5,13.09
494,sovetskaya gavan,ru,48.9723,140.2878,72.75,68,7,6.96
495,san policarpo,ph,12.1791,125.5072,83.95,78,71,6.69
496,hamilton,bm,32.2956,-64.7828,81.84,80,0,12.66
497,benguela,ao,-12.5791,13.4037,69.87,83,80,7.56
498,yayva,ru,59.3303,57.2641,71.6,95,91,3.42
499,lesozavodsk,ru,45.4748,133.4182,85.28,66,1,8.81
500,diamantino,br,-14.4037,-56.4365,67.93,46,47,6.11
501,anchorage,us,61.2163,-149.8949,59.31,75,86,3.51
502,terney,ru,45.0504,136.6137,72.64,73,43,5.41
503,santa cruz,us,36.9742,-122.0298,59.86,87,97,7.87
504,tual,id,-5.6667,132.75,78.12,84,16,20.04
505,calvinia,za,-31.4695,19.7772,36.39,92,22,3.98
506,najran,sa,17.544,44.2247,99.72,13,43,19.6
507,montbrison,fr,45.6071,4.0653,68,62,36,5.7
509,bantou,cn,26.2151,117.4893,91.11,55,45,3.94
510,bagamoyo,tz,-6.4334,38.9,79.7,73,13,2.71
511,salinopolis,br,-0.6137,-47.3562,78.48,80,7,12.03
512,griffith,au,-34.2871,146.0551,61.34,56,0,8.97
513,atambua,id,-9.1066,124.892,78.91,71,0,7.4
514,grimshaw,ca,56.1879,-117.6083,56.28,80,80,6.6
515,dinguiraye,gn,11.2924,-10.7145,67.93,95,96,1.57
516,ambon,id,-3.6955,128.1814,80.31,77,19,14.05
517,cabedelo,br,-6.9733,-34.8352,71.89,96,12,5.08
518,bahia de caraquez,ec,-0.6,-80.4167,71.42,87,99,9.8
520,sao joao da barra,br,-21.6403,-41.0512,55.9,90,1,0.25
521,saint-joseph,re,-21.3667,55.6167,70.88,69,39,2.98
522,riyadh,sa,24.632,46.7151,100.22,9,8,17.81
524,deer lake,ca,49.1825,-57.4302,53.92,77,90,2.55
525,cabo san lucas,mx,22.8938,-109.9112,79.83,70,37,10.13
526,abu kamal,sy,34.4506,40.9171,92.23,43,0,20.94
527,vanimo,pg,-2.6741,141.3028,85.1,74,34,11.18
528,ternate,id,0.8,127.4,81.72,80,91,14.18
529,whitewater,us,42.8336,-88.7293,81.57,95,26,11.77
530,pryazha,ru,61.6932,33.6227,64.65,66,53,7.2
531,lompoc,us,34.6392,-120.458,55.33,94,1,8.72
532,lerik,az,38.7753,48.4182,83.44,34,0,12.19
533,teguise,es,29.0605,-13.564,70.74,84,95,19.6
534,ahipara,nz,-35.1665,173.1562,58.71,76,11,15.05
535,port lincoln,au,-34.7212,135.8592,64.54,59,0,29.55
536,guerrero negro,mx,27.971,-114.0364,66.52,84,0,18.01
539,keuruu,fi,62.258,24.7084,68.4,67,2,3.53
540,otavi,na,-19.6419,17.3441,52.81,27,0,4.68
541,zambrow,pl,52.9855,22.2432,71.62,82,97,0.67
542,ilhabela,br,-23.7781,-45.3581,68.86,72,64,9.89
543,dunedin,nz,-45.874,170.5035,49.3,89,100,17.13
545,antoniny,ua,49.8103,26.8647,73.47,74,89,5.17
546,tezu,in,27.9254,96.1647,94.96,57,70,2.98
547,morros,br,-2.8667,-44.0389,72.82,81,66,3.87
548,teofilo otoni,br,-17.8576,-41.5053,50.76,97,51,1.41
549,trinidad,cu,21.8053,-79.9844,71.06,97,47,2.59
550,rosarito,mx,27.0432,-109.905,79.52,73,100,10.54
551,mehamn,no,71.035,27.8517,60.62,70,0,6.24
552,poum,nc,-20.2334,164.0167,70.38,75,2,25.86
553,kolt,dk,56.1074,10.0821,67.53,82,92,10.36
554,vernon,ca,50.2683,-119.2676,54,93,100,2.44
555,oblivskaya,ru,48.5364,42.4991,83.55,40,0,4.61
557,port hardy,ca,50.6996,-127.4199,53.02,89,0,6.58
558,ushtobe,kz,45.2514,77.9838,100.44,19,1,10.16
559,klyuchi,ru,52.2549,79.1714,83.77,57,88,9.06
560,novomikhaylovskiy,ru,44.2581,38.8578,84.88,44,0,7.92
563,toumodi,ci,6.5602,-5.0161,74.01,98,100,6.24
564,ahvaz,ir,31.323,48.6793,107.74,12,0,7.34
565,matagami,ca,49.7569,-77.6272,54.93,93,3,3.24
566,lamu,ke,-2.2717,40.902,80.53,72,17,14.27
567,kidal,ml,18.4449,1.4096,83.73,45,39,7.43
568,tolaga bay,nz,-38.3745,178.2991,42.4,82,44,5.19
569,puri,in,19.8,85.85,91.47,59,32,11.61
571,dakar,sn,14.6934,-17.448,73.4,79,49,8.01
572,san carlos de bariloche,ar,-41.1335,-71.31,32.58,95,100,9.35
573,puerto escondido,mx,15.8624,-97.0717,71.6,90,76,4.83
574,nouadhibou,mr,20.931,-17.0347,67.1,92,0,23.38
575,mitchell,us,43.7095,-98.0254,73.72,95,7,12.24
576,noyabrsk,ru,63.2003,75.4476,88.63,43,7,8.46
577,galveston,us,40.5789,-86.1903,77.7,95,0,11.05
578,andra,ru,62.516,65.8862,85.06,42,0,5.7
579,half moon bay,us,37.4636,-122.4286,59.16,90,84,8.32
580,tura,ru,64.2742,100.217,72.39,32,0,14.12
581,banda aceh,id,5.5577,95.3222,77.18,85,100,16.37
583,kandrian,pg,-6.2075,149.5476,78.22,83,98,10.89
584,diego de almagro,cl,-26.3911,-70.046,49.42,65,0,1.12
585,dalbandin,pk,28.8963,64.4097,107.49,23,0,6.69
587,igarka,ru,67.4672,86.5698,78.62,36,0,15.23
588,changji,cn,32.0671,116.1675,94.32,54,54,2.93
589,jutai,br,-1.705,-47.8867,67.78,98,36,2.04
590,bulgan,mn,48.8129,103.5323,79.38,42,0,5.84
592,shingu,jp,33.7241,135.993,82.65,74,100,6.6
593,revelstoke,ca,50.9934,-118.1919,51.73,97,100,2.89
594,chabahar,ir,25.2933,60.6471,94.6,56,8,9.53
596,fargo,us,46.8772,-96.7899,64.98,63,17,3.58
597,magan,ru,62.1025,129.5326,66.2,33,0,7.52
598,kerman,ir,30.2924,57.0647,94.78,8,0,7.92
599,surab,pk,28.4945,66.264,96.62,27,2,9.17
600,hualmay,pe,-11.0968,-77.613,61.56,86,38,12.95
601,aksehir,tr,38.3575,31.4164,73.11,56,0,5.88
602,ginir,et,7.1363,40.7112,69.66,77,52,5.17
